u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
353193678,353193679,residential,0,55.36874858603984,0,0,25.75,0.0106101914140363,2,2.0,1,1,asphalt
353193678,3819769234,residential,0,54.53404771307382,0,0,25.73999977,0.0106101914140363,2,2.0,1,1,asphalt
353193678,3819769241,residential,0,108.4118587739422,0,0,25.774999620000003,0.4165182026387291,2,2.0,1,1,asphalt
353193679,3819769399,residential,0,55.21463680469374,0,0,25.76000023,0.0106101914140363,2,2.0,1,1,asphalt
353193679,3819769391,residential,0,85.6025800172396,0,0,28.65999985,1.4586447846347337,2,2.0,1,1,asphalt
353193679,353193678,residential,0,55.36874858603984,0,0,25.75,0.0106101914140363,2,2.0,1,1,asphalt
353193679,4580258481,residential,0,121.31023690733804,0,0,24.965000155,0.3013077684451395,2,2.0,1,1,asphalt
353193681,3819769745,residential,0,12.933406092240418,0,0,24.01000023,1.149024972097332,2,2.0,1,1,asphalt
353193681,3819769725,residential,0,19.512625377454963,0,0,24.01000023,1.149024972097332,2,2.0,1,1,asphalt
353193681,3819769784,residential,0,74.35698814749725,0,0,24.98999977,1.1436517061217164,2,2.0,1,1,asphalt
353193681,3819769701,residential,0,36.66367921832348,0,0,24.01000023,1.149024972097332,2,2.0,1,1,asphalt
353193888,4580091947,residential,0,47.25596837553313,0,0,27.64999962,0.5964080920355431,2,2.0,1,1,asphalt
353193888,3823586788,residential,0,57.3544400836616,0,0,26.859999655,0.6798137943223732,2,2.0,1,1,asphalt
353193888,4580091946,residential,0,54.33897511056014,0,0,27.494999885,0.9201698586548884,2,2.0,1,1,asphalt
353193929,3823589190,residential,1,56.64350522952936,0,0,82.17499924,12.560692863438597,1,2.0,1,0,asphalt
353193929,3823589179,residential,0,30.925359034740715,0,0,84.77499771000001,10.76409139203243,2,2.0,1,1,asphalt
353193929,3823589157,residential,0,31.133335998240817,0,0,83.44999695,10.76409139203243,1,2.0,1,0,asphalt
353193934,3823588150,residential,0,39.84354036583286,0,0,36.49000168,2.577663769368169,2,2.0,1,1,asphalt
353193934,3823588237,residential,0,44.73661811030758,0,0,36.49000168,2.577663769368169,2,2.0,1,1,asphalt
353193934,3823587899,residential,0,71.48733043156942,0,0,36.49000168,2.577663769368169,2,2.0,1,1,asphalt
353193934,436393825,residential,0,57.71433142324626,0,0,36.49000168,2.577663769368169,2,2.0,1,1,asphalt
353193935,3823587490,residential,0,65.87013309083177,0,0,31.7850008,0.7557639398823526,2,2.0,1,1,asphalt
353193935,436393823,residential,0,61.90184225475328,0,0,34.050001145,0.0648735484831543,6,4.0,3,3,asphalt
353193935,3823587768,residential,0,39.98506174522948,0,0,33.99000168,0.0648735484831543,2,2.0,1,1,asphalt
353193935,3823587899,residential,0,65.72171520392719,0,0,35.24000168,1.3212686589256617,2,2.0,1,1,asphalt
353193936,11230505660,residential,0,66.83300626270302,0,0,30.5199995,5.395196363590868,6,4.0,3,3,asphalt
353193936,3823587490,residential,0,68.08984981774584,0,0,29.57999992,1.446654331281551,2,2.0,1,1,asphalt
353193936,3823587292,residential,0,30.25773103988716,0,0,29.57999992,1.446654331281551,4,3.0,2,2,asphalt
353193936,3823587159,residential,0,40.47661947878908,0,0,29.57999992,1.446654331281551,4,3.0,2,2,asphalt
353193937,3823587021,residential,0,46.6573633814279,0,0,27.34000015,1.243931625274234,4,3.0,2,2,asphalt
353193937,353194436,residential,0,47.15123448763294,0,0,27.34000015,1.243931625274234,2,2.0,1,1,asphalt
353193937,3823587159,residential,0,46.87609612921186,0,0,28.460000035,1.3452929782778926,2,2.0,1,1,asphalt
353194161,4584756069,residential,0,37.54254645504968,0,0,20.44000053,3.543552202047304,2,2.0,1,1,asphalt
353194161,3822944449,residential,0,50.20013737053612,0,0,19.60000038,2.1827875587328167,4,3.0,2,2,asphalt
353194161,3822944448,residential,0,26.64578718983113,0,0,20.44000053,3.543552202047304,2,2.0,1,1,asphalt
353194170,4584660347,residential,0,81.85008785872023,0,0,22.18999958,0.3354680787727729,2,2.0,1,1,asphalt
