u,v,highway,oneway,length,bridge,tunnel,avg_height,avg_slope,lanes,width,up_lanes,down_lanes,surface
436837192,436837191,secondary,0,79.14635564484541,0,0,21.57000065,1.963736118813056,2,2.0,1,1,asphalt
436837192,3825310086,secondary,0,21.442782193306428,0,0,22.79000092,0.7005467596919679,4,3.0,2,2,asphalt
436837192,3825309973,secondary,0,101.21886607944228,0,0,22.260000230000003,3.1891696949119632,4,3.0,2,2,asphalt
436841150,3860578465,residential,0,23.46779738134309,0,0,22.06999969,0.0914458256858473,3,3.0,2,1,asphalt
436841150,3864845758,residential,0,33.22184565613039,0,0,22.06999969,0.0914458256858473,3,3.0,2,1,asphalt
436841150,3864845156,tertiary,0,41.36133374650093,0,0,22.06999969,0.0914458256858473,2,2.0,1,1,asphalt
436841150,3864845761,tertiary,0,54.400039951499885,0,0,23.199999805,4.586971327483268,3,3.0,2,1,asphalt
436841153,3864845761,tertiary,0,37.49469875815738,0,0,24.32999992,9.08249682928069,4,3.0,2,2,asphalt
436841153,3310757859,residential,0,58.29735665925904,0,0,37.56000042,19.127711672066567,4,3.0,2,2,asphalt
436841153,3864845762,secondary,0,38.21991645820887,0,0,24.32999992,9.08249682928069,4,3.0,2,2,asphalt
436841153,3860578462,secondary,0,22.70659044471273,0,0,24.32999992,9.08249682928069,4,3.0,2,2,asphalt
436841517,3811434985,secondary,0,73.86436553282059,0,0,21.674999235,13.669076106886326,3,3.0,3,0,paving_stones
436841517,3811434994,secondary,0,76.25571066955806,0,0,21.66499996,6.364177663352627,4,3.0,2,2,paving_stones
436841517,3811434992,residential,0,58.71789922845161,0,0,21.52499962,6.350331591079874,3,3.0,3,0,paving_stones
436841537,2930525559,secondary,0,26.76901462420258,0,0,25.37999916,16.0458494133253,2,2.0,1,1,asphalt
436841537,3820785971,residential,0,517.0432851407515,0,0,38.9649992,13.013252743585236,3,3.0,3,0,paving_stones
436841537,3820786160,secondary,0,171.53900338486494,0,0,25.934999465,8.673879963032157,4,3.0,2,2,paving_stones
436841577,3820786205,secondary,0,29.91981426923089,0,0,30.22999954,6.708129212721649,3,3.0,3,0,asphalt
436841577,3820786206,secondary,0,28.96176946309228,0,0,30.22999954,6.708129212721649,4,3.0,2,2,asphalt
436841577,8477446133,secondary,0,57.58785263542665,0,0,30.22999954,6.708129212721649,4,3.0,2,2,asphalt
436841577,3820786261,secondary,0,39.44355793014846,0,0,30.22999954,6.708129212721649,4,3.0,2,2,asphalt
436841630,3825027246,secondary,0,37.78975221948247,0,0,53.86999893,11.7479318251288,2,2.0,1,1,asphalt
436841630,3825027198,secondary,0,136.21133555416648,0,0,54.170000075,7.347072404302057,2,2.0,1,1,asphalt
436841630,4588415824,residential,0,39.84209629834079,0,0,58.444999695,11.7479318251288,2,2.0,1,1,asphalt
