gu,osmid,x,y
마포구,436853386,126.951944,37.5420385
마포구,436853387,126.9513712,37.5421612
마포구,436853677,126.9392121,37.5491774
마포구,436853683,126.9385683,37.5497897
마포구,436853694,126.9372789,37.5531153
마포구,436853695,126.9371027,37.5542535
마포구,436853792,126.9174887,37.5589588
마포구,436853798,126.9142589,37.5625502
마포구,436853804,126.9122311,37.564798
마포구,436855641,126.9110608,37.5650796
마포구,436855646,126.9141172,37.565991
마포구,436855837,126.91253,37.56919
마포구,436855860,126.9013382,37.5654524
마포구,436859628,126.9284727,37.5422292
마포구,436859638,126.9332339,37.5526796
마포구,436862108,126.9237011,37.5600633
마포구,436862109,126.9228985,37.5610595
마포구,436862110,126.9218075,37.5624066
마포구,436862111,126.9202242,37.5643775
마포구,436862112,126.9195709,37.5651417
마포구,436862410,126.9266581,37.5609728
마포구,436864020,126.92307,37.5507
마포구,436864063,126.9309748,37.5559664
마포구,436869371,126.91936,37.55172
마포구,436869380,126.9168734,37.5538395
마포구,436869387,126.91506,37.55582
마포구,436874414,126.9300651,37.5444087
마포구,436874429,126.93164,37.54525
마포구,436874438,126.9325708,37.5474537
마포구,436874458,126.9334062,37.552574
마포구,436877190,126.9449114,37.5389541
마포구,436877194,126.9426905,37.5405574
마포구,436877199,126.9397802,37.5426171
마포구,436877204,126.9365649,37.5439508
마포구,436877205,126.9365589,37.5439563
마포구,436877207,126.9356269,37.5446847
마포구,436877209,126.9348705,37.5449974
마포구,436877210,126.9342705,37.5450991
마포구,436877211,126.9339705,37.5451474
마포구,436880518,126.9071541,37.5593391
마포구,445327391,126.9103257,37.5558234
마포구,445327414,126.911031,37.5540412
마포구,449464861,126.8824445,37.5708166
마포구,449464918,126.8894643,37.5664792
마포구,449468527,126.888022,37.5627806
마포구,449469095,126.8880665,37.5706772
마포구,449471230,126.8884766,37.5681765
마포구,449471589,126.8841425,37.5713817
마포구,449472636,126.8871646,37.5691529
마포구,449472899,126.8854883,37.5674555
마포구,449473088,126.8826424,37.5691943
마포구,449473090,126.8875989,37.5661056
마포구,449473568,126.8847273,37.5666664
마포구,631756001,126.9235972,37.5554275
마포구,796137310,126.9105571,37.5439334
마포구,798645174,126.9049096,37.549354
마포구,798645919,126.9105767,37.54859
마포구,798645945,126.9047871,37.5489352
마포구,798651017,126.917758,37.5427968
마포구,1104187225,126.8923366,37.5771466
마포구,1133534451,126.8760332,37.5690203
마포구,1133534456,126.8800018,37.5690049
마포구,1133534459,126.8789097,37.5678534
마포구,1133534460,126.8790437,37.567641
마포구,1133534461,126.8789797,37.5675008
마포구,1133534471,126.8785456,37.5677413
마포구,1133534473,126.8808407,37.5662495
마포구,1795204580,126.9225359,37.5543354
마포구,1795204599,126.9190547,37.5519841
마포구,1800575463,126.9216487,37.5529269
마포구,1800585176,126.9298179,37.5544584
마포구,1830388306,126.9292413,37.5547661
마포구,1830388317,126.9275877,37.5540263
마포구,1830411034,126.9280226,37.556521
마포구,1830504800,126.9199818,37.5478762
마포구,1834932796,126.92022,37.5483292
마포구,1834932797,126.9163868,37.5483458
마포구,1834932799,126.9187244,37.5484151
마포구,1834932801,126.9204621,37.5488214
마포구,1834932805,126.9196773,37.5497217
마포구,1834932806,126.9144125,37.5497871
마포구,1834932807,126.9176097,37.5501127
마포구,1834932810,126.9179319,37.5505025
마포구,1834932811,126.9182725,37.550861
마포구,1834932812,126.9187715,37.5513078
마포구,1931779475,126.917347,37.5568774
마포구,1931779477,126.9187818,37.5575284
마포구,1931790368,126.9153859,37.5576424
마포구,1931790374,126.9168986,37.5580403
마포구,1931790383,126.9164741,37.5588399
마포구,1931790385,126.9161625,37.5576152
마포구,1931790389,126.9178289,37.5585777
마포구,1949110857,126.9195033,37.5598705
마포구,1949110858,126.9212742,37.5562392
마포구,1949110883,126.9183552,37.5589845
마포구,1949110885,126.9207286,37.5606092
마포구,1949110888,126.9214859,37.5578924
마포구,1949110892,126.9168645,37.5606304
마포구,1949110896,126.9204896,37.5569183
마포구,1949110904,126.9185642,37.5593658
마포구,1949110907,126.9211034,37.5582429
마포구,1949110912,126.91934,37.5579076
마포구,1949110915,126.9205677,37.5587455
마포구,1949139139,126.9225577,37.5589319
마포구,1949139142,126.9187344,37.5605699
마포구,1949139158,126.9200139,37.5593349
마포구,1949139160,126.9224347,37.5616254
마포구,1949139163,126.9187276,37.5585717
마포구,1949139184,126.92124,37.5600724
마포구,1949139190,126.9187185,37.56024
마포구,1949139193,126.9217436,37.5595477
마포구,1949139222,126.9186731,37.5617068
마포구,1949139236,126.9193356,37.5620987
마포구,1949139253,126.9232735,37.5605891
마포구,1949139275,126.9177721,37.5611784
마포구,1949178455,126.9205497,37.5560099
마포구,1949178460,126.9133412,37.5579592
마포구,1949178468,126.9157572,37.5549401
마포구,1949178471,126.9164513,37.555056
마포구,1949178482,126.9158814,37.5600399
마포구,1949178488,126.9156264,37.556086
마포구,1969395174,126.9148317,37.5534997
마포구,1969395175,126.9130559,37.5539487
마포구,1969395177,126.9150601,37.5548194
마포구,1969395179,126.9129522,37.5519485
마포구,1969395183,126.9142042,37.5541764
마포구,1969395184,126.912672,37.5528548
마포구,1969395185,126.9152067,37.5535584
마포구,1969395186,126.9125017,37.5518772
마포구,1969395187,126.9149659,37.552397
마포구,1969395189,126.9123838,37.5538241
마포구,1969395190,126.915394,37.5544048
마포구,1969395193,126.9128107,37.552402
마포구,1969395195,126.9157472,37.551978
마포구,1969395198,126.9122229,37.5543458
마포구,1969395200,126.9171775,37.5530279
마포구,1969395206,126.9133226,37.5530317
마포구,1969395210,126.9146034,37.5542544
마포구,1969395214,126.9144822,37.5533747
마포구,1969395215,126.9150475,37.552833
마포구,1969395219,126.913897,37.5531799
마포구,1969395220,126.9155933,37.5535099
마포구,1969395225,126.9149485,37.5515995
마포구,1969395233,126.9160744,37.5524192
마포구,1969395236,126.9166421,37.5529562
마포구,1969395239,126.9140543,37.5526393
마포구,1969395241,126.9136876,37.554591
마포구,1969395247,126.9162574,37.5535999
마포구,1969395248,126.9152091,37.5512494
마포구,1969395251,126.9158717,37.5533142
마포구,1969395252,126.9142026,37.5522491
마포구,1969395253,126.9138282,37.5541017
마포구,1969395254,126.912213,37.5527611
마포구,2139811760,126.9003312,37.5523062
마포구,2139811778,126.8912209,37.5598061
마포구,2139811784,126.9007142,37.5523747
마포구,2139811797,126.8934363,37.5579231
마포구,2139811828,126.8976804,37.5617252
마포구,2139811858,126.8945628,37.5595838
마포구,2139811868,126.8975549,37.5617993
마포구,2139811874,126.8980588,37.5619347
마포구,2139811882,126.8958583,37.5601344
마포구,2139811885,126.8961319,37.560228
마포구,2139867162,126.8964386,37.5601835
마포구,2139867163,126.8948497,37.5573214
마포구,2139867164,126.8940258,37.558092
마포구,2139867170,126.8971234,37.5550309
마포구,2139867172,126.8909651,37.5602282
마포구,2139867174,126.9040745,37.5499228
마포구,2139867190,126.8972298,37.555606
마포구,2139867191,126.8957332,37.5597149
마포구,2139867193,126.8939195,37.5566517
마포구,2139867194,126.8963449,37.5558705
마포구,2139867231,126.8965622,37.5551607
마포구,2139867246,126.9089581,37.5487818
마포구,2139867263,126.8959186,37.5572651
마포구,2139941727,126.9280821,37.5439941
마포구,2139941732,126.9222063,37.5440378
마포구,2139941737,126.929887,37.5440739
마포구,2139941755,126.9172632,37.5454522
마포구,2139941756,126.9303715,37.5431443
마포구,2139941762,126.9443681,37.5385475
마포구,2139941766,126.9099276,37.5488423
마포구,2139941776,126.9313073,37.5474803
마포구,2139941779,126.9311891,37.5470851
마포구,2139941788,126.9283144,37.5423012
마포구,2139941806,126.9118332,37.5457849
마포구,2139941812,126.912554,37.5457407
마포구,2139941828,126.9313439,37.5470584
마포구,2139941831,126.9420347,37.5375778
마포구,2139941839,126.9102267,37.5464322
마포구,2139941845,126.9229055,37.5446563
마포구,2139941847,126.9380086,37.5404394
마포구,2139941852,126.9407328,37.5389476
마포구,2139941856,126.9105152,37.5458325
마포구,2139941861,126.9417603,37.5382821
마포구,2139941874,126.9441367,37.5381874
마포구,2139941882,126.9409858,37.536971
마포구,2139941888,126.9424413,37.5370133
마포구,2139941903,126.9368192,37.5422307
마포구,2139941906,126.9421979,37.5395575
마포구,2139941907,126.921727,37.5451589
마포구,2139941910,126.9095368,37.5485403
마포구,2139941913,126.9229215,37.54506
마포구,2139941920,126.9252661,37.5439586
마포구,2139941922,126.9304505,37.5455917
마포구,2139941924,126.9314815,37.5474724
마포구,2139941930,126.9092208,37.5485566
마포구,2141595962,126.8653254,37.5740238
마포구,2141595985,126.8903536,37.5608012
마포구,2141595988,126.8633707,37.5766198
마포구,2141596006,126.8684717,37.5734345
마포구,2141596012,126.8623008,37.5761795
마포구,2141596014,126.8640796,37.5746997
마포구,2141596039,126.8692705,37.5726528
마포구,2141596045,126.866328,37.575072
마포구,2141596077,126.8870771,37.5622283
마포구,2141596080,126.8655591,37.5747838
마포구,2141596087,126.8888817,37.5628725
마포구,2141596093,126.8913623,37.5599384
마포구,2141616543,126.8595211,37.5673483
마포구,2147567566,126.9018182,37.5624669
마포구,2147567567,126.9098761,37.5651285
마포구,2147567570,126.8981017,37.5609542
마포구,2147567604,126.9025825,37.562599
마포구,2147567607,126.9045407,37.5631763
마포구,2147567609,126.9030131,37.5632044
마포구,2204167381,126.9444697,37.5386282
마포구,2288311361,126.9511018,37.5438118
마포구,2288449080,126.9117894,37.5652801
마포구,2288449081,126.8946876,37.5794472
마포구,2322074403,126.9606845,37.5472718
마포구,2322074411,126.960239,37.5479324
마포구,2322074413,126.959914,37.5478883
마포구,2322074420,126.9591808,37.5472677
마포구,2322074424,126.9581986,37.5475132
마포구,2323311234,126.9186704,37.545383
마포구,2329648809,126.9458648,37.5562989
마포구,2329648810,126.9499015,37.5565182
마포구,2329648813,126.9544576,37.5567707
마포구,2329648814,126.9558004,37.5568727
마포구,2329648821,126.9464999,37.5563331
마포구,2329648822,126.9465668,37.5543918
마포구,2329648827,126.9466565,37.5514503
마포구,2329648837,126.945459,37.5468036
마포구,2329648839,126.9461063,37.5459853
마포구,2329648843,126.9474157,37.5481616
마포구,2329648852,126.9464371,37.5505724
마포구,2329648860,126.9465263,37.5558325
마포구,2329648865,126.9513993,37.5558067
마포구,2329648871,126.9488433,37.555362
마포구,2329648872,126.9479723,37.5557967
마포구,2329648875,126.9485877,37.5550548
마포구,2329648884,126.9509711,37.5546224
마포구,2329648890,126.9553417,37.5553523
마포구,2329648891,126.955153,37.5553152
마포구,2329648896,126.9534298,37.5546898
마포구,2329648904,126.9516649,37.5523773
마포구,2329648912,126.9488119,37.5448075
마포구,2329648916,126.9501912,37.5461464
마포구,2329648920,126.950365,37.5488652
마포구,2329648926,126.952255,37.5467378
마포구,2329648927,126.9484939,37.5489502
마포구,2329648931,126.9479858,37.5494597
마포구,2329648956,126.9535849,37.5514551
마포구,2329648966,126.9576893,37.5551398
마포구,2329648967,126.957978,37.5550833
마포구,2329648995,126.9309446,37.5487021
마포구,2329648999,126.9293734,37.549267
마포구,2329649000,126.9195762,37.5453311
마포구,2329649004,126.9212348,37.5458858
마포구,2329649007,126.9229385,37.5460077
마포구,2329649021,126.9229458,37.5464139
마포구,2329649026,126.9174765,37.5459255
마포구,2329649046,126.9079943,37.5530576
마포구,2329649056,126.9044023,37.5524203
마포구,2329649057,126.9046021,37.5529307
마포구,2329649058,126.9061354,37.5534056
마포구,2329649059,126.9075501,37.5539256
마포구,2329649060,126.9103695,37.5547657
마포구,2329649063,126.9041584,37.5537595
마포구,2329649071,126.9099352,37.5570621
마포구,2329649072,126.9109235,37.5559487
마포구,2329649073,126.9122295,37.5562272
마포구,2329649074,126.9141156,37.5569831
마포구,2329649075,126.911607,37.5560967
마포구,2329649076,126.9107677,37.5585729
마포구,2329649078,126.9273422,37.5620972
마포구,2329649080,126.923555,37.5654362
마포구,2329649081,126.9219604,37.5661662
마포구,2330771333,126.9447028,37.5544856
마포구,2330771347,126.9386701,37.5538484
마포구,2330771349,126.9376287,37.5533218
마포구,2330771431,126.9414226,37.5555823
마포구,2330771433,126.940824,37.5553807
마포구,2330771437,126.9376357,37.5543061
마포구,2330771439,126.9381285,37.5549122
마포구,2330771440,126.9391375,37.5552849
마포구,2330771444,126.9412658,37.5559851
마포구,2330771455,126.9417011,37.5548597
마포구,2330771456,126.9418996,37.5542814
마포구,2330771457,126.9386949,37.5534934
마포구,2330771469,126.9369229,37.5512892
마포구,2330771472,126.9372664,37.5512231
마포구,2330771479,126.9408106,37.554562
마포구,2330782481,126.9580172,37.5492614
마포구,2330782485,126.9594634,37.5500041
마포구,2330782495,126.9620146,37.5512126
마포구,2330782501,126.9585719,37.5517227
마포구,2330782519,126.9545353,37.5489525
마포구,2330782525,126.9547233,37.5470441
마포구,2330782527,126.9552933,37.5465034
마포구,2330782528,126.9557434,37.5463833
마포구,2330782529,126.9570591,37.5481682
마포구,2330782531,126.9576206,37.5475541
마포구,2330782542,126.9551582,37.5501922
마포구,2330782543,126.9582168,37.5513559
마포구,2330782551,126.9604748,37.5578409
마포구,2330782561,126.9616748,37.5523956
마포구,2330782565,126.9604794,37.5561106
마포구,2374750051,126.9083443,37.5554817
마포구,2374750053,126.9027239,37.559956
마포구,2374750057,126.9076518,37.5566682
마포구,2374750058,126.9058773,37.5536659
마포구,2374750064,126.9060537,37.55655
마포구,2374750067,126.909434,37.5535215
마포구,2374750069,126.9062727,37.5558809
마포구,2374750073,126.9064869,37.5552101
마포구,2374750074,126.905502,37.5540482
마포구,2374750075,126.9068771,37.5552665
마포구,2374750077,126.9089854,37.5555731
마포구,2374750078,126.903559,37.5536362
마포구,2374750079,126.9088437,37.5564429
마포구,2374776955,126.9065459,37.5525916
마포구,2374794514,126.9180959,37.5543439
마포구,2374794523,126.9174989,37.5540685
마포구,2374794532,126.9179183,37.5553113
마포구,2374794573,126.9194354,37.5543463
마포구,2374794579,126.9194082,37.5556593
마포구,2374794582,126.9188797,37.5548107
마포구,2374823802,126.9074014,37.5606903
마포구,2374823805,126.9051969,37.562296
마포구,2374823807,126.9069092,37.5604031
마포구,2374823808,126.9081868,37.5601988
마포구,2374823809,126.9140789,37.556041
마포구,2374823810,126.9200245,37.5564617
마포구,2374823811,126.9181588,37.557246
마포구,2374823813,126.9064819,37.5628778
마포구,2374823817,126.9095475,37.5583168
마포구,2374823819,126.9133425,37.555019
마포구,2374823820,126.9060713,37.5605429
마포구,2374823821,126.9128981,37.555499
마포구,2374823823,126.907623,37.5596104
마포구,2374823827,126.9123717,37.557582
마포구,2374823834,126.9127632,37.5564214
마포구,2374823837,126.9079508,37.5610054
마포구,2374823839,126.9061681,37.5634491
마포구,2374823840,126.91448,37.5555398
마포구,2374823841,126.9055395,37.5619217
마포구,2374823843,126.9118407,37.5542858
마포구,2374823846,126.9195903,37.5560287
마포구,2374823847,126.9103083,37.55997
마포구,2374823854,126.9066236,37.5616461
마포구,2374823856,126.913548,37.5567065
마포구,2374823857,126.9080902,37.5597955
마포구,2374823862,126.9076767,37.5633534
마포구,2374823864,126.9176967,37.5559942
마포구,2374823865,126.9071609,37.5613491
마포구,2374823867,126.9091424,37.5595734
마포구,2374823875,126.908377,37.5609297
마포구,2374823876,126.9067246,37.5624478
마포구,2374823878,126.9094611,37.5599517
마포구,2374823880,126.9109894,37.5550909
마포구,2374823885,126.9189456,37.556577
마포구,2374838342,126.9177584,37.5631824
마포구,2374838344,126.9183797,37.5615349
마포구,2374838349,126.915144,37.5644618
마포구,2374838374,126.9154141,37.5661154
마포구,2374838378,126.9150231,37.5650786
마포구,2374838387,126.9166903,37.5652898
마포구,2374838391,126.9158313,37.5640496
마포구,2374838400,126.9154568,37.5629529
마포구,2374838418,126.9152483,37.5639729
마포구,2374838429,126.9182736,37.563222
마포구,2374838431,126.9178845,37.5641442
마포구,2374838435,126.9172194,37.5631433
마포구,2374838468,126.9177204,37.5654273
마포구,2374838474,126.9139748,37.5638084
마포구,2374838478,126.9170542,37.566165
마포구,2374838516,126.9167376,37.56311
마포구,2374838523,126.9161512,37.5652256
마포구,2374838526,126.9195019,37.5639553
마포구,2374838532,126.9144021,37.5643668
마포구,2374838549,126.9160414,37.5663704
마포구,2374838555,126.9189455,37.5659114
마포구,2374838565,126.9173682,37.560934
마포구,2374838571,126.9175165,37.567051
마포구,2374838575,126.9125945,37.5653372
마포구,2374838583,126.918242,37.5654921
마포구,2374838614,126.9163092,37.5641097
마포구,2374838652,126.9148202,37.5628681
마포구,2374838656,126.9156162,37.5651536
마포구,2374838660,126.9200378,37.5613467
마포구,2374838669,126.9169527,37.5669962
마포구,2374838675,126.9160412,37.5630246
마포구,2374838688,126.9141196,37.5657572
마포구,2374838706,126.9171827,37.5671692
마포구,2374838730,126.9157393,37.5645342
마포구,2374838752,126.9148527,37.5659597
마포구,2374838755,126.9158412,37.5607862
마포구,2421606544,126.9301177,37.5548042
마포구,2451940610,126.9431743,37.5395696
마포구,2451940611,126.9436067,37.5399302
마포구,2451940614,126.9482567,37.5413199
마포구,2451940615,126.9454907,37.5414383
마포구,2451940616,126.947782,37.5416931
마포구,2451940617,126.9490779,37.5419015
마포구,2451940618,126.9447396,37.5419978
마포구,2451940620,126.9378894,37.5423325
마포구,2451940622,126.943648,37.542736
마포구,2451940624,126.9385313,37.5429012
마포구,2451940627,126.9492204,37.5433232
마포구,2451940629,126.9478025,37.5433637
마포구,2451940631,126.9461751,37.5435381
마포구,2451940640,126.9414937,37.5442217
마포구,2451940652,126.955237,37.5457913
마포구,2451940655,126.9536675,37.5464659
마포구,2451940657,126.9531878,37.5466884
마포구,2451940661,126.9408055,37.5470554
마포구,2451940662,126.9437429,37.5470159
마포구,2451940663,126.9541978,37.5472017
마포구,2451940665,126.9526176,37.5472612
마포구,2451940682,126.9535842,37.5487936
마포구,2451940687,126.9446702,37.5491306
마포구,2451940692,126.9433084,37.5492856
마포구,2451940696,126.9431818,37.5493363
마포구,2451940702,126.9458545,37.549471
마포구,2451940705,126.9450832,37.5495241
마포구,2451940711,126.9379506,37.5497059
마포구,2451940727,126.9438823,37.5520921
마포구,2451940759,126.9564776,37.5531916
마포구,2451940770,126.9558866,37.553412
마포구,2451940771,126.9442332,37.5534057
마포구,2451940772,126.9447188,37.5534118
마포구,2451940773,126.9452581,37.5534162
마포구,2451940779,126.9596946,37.5537502
마포구,2451940793,126.9452832,37.5543928
마포구,2451940799,126.9555278,37.5546139
마포구,2451940802,126.9442202,37.5546767
마포구,2451940805,126.9608454,37.5549496
마포구,2451940806,126.9494603,37.5550136
마포구,2451940811,126.9465406,37.5553168
마포구,2451940816,126.9482355,37.5553589
마포구,2451940820,126.9485377,37.5557912
마포구,2451940823,126.9545053,37.5562589
마포구,2451940824,126.9550649,37.5563016
마포구,2451940825,126.9555772,37.5563408
마포구,2451940826,126.9520328,37.5565379
마포구,2473238876,126.924041,37.552636
마포구,2473242328,126.9265449,37.5594726
마포구,2473255250,126.9271694,37.5618225
마포구,2473255261,126.9261553,37.5596489
마포구,2473255265,126.9256008,37.5597576
마포구,2473255280,126.925047,37.5600372
마포구,2473255286,126.92424,37.5607081
마포구,2473255291,126.9194498,37.5665032
마포구,2473270869,126.9249965,37.5619909
마포구,2473270871,126.9242572,37.5610034
마포구,2473270875,126.9242489,37.5608236
마포구,2473270879,126.9254562,37.561733
마포구,2473270880,126.9253571,37.5619787
마포구,2473270881,126.9256097,37.5604265
마포구,2532403755,126.9168413,37.5673937
마포구,2532420363,126.9156395,37.5678976
마포구,2605578793,126.8883716,37.5818925
마포구,2605578794,126.889349,37.5813028
마포구,2605578797,126.8873866,37.5823483
마포구,2605578798,126.886212,37.5827795
마포구,2605603657,126.8977372,37.577394
마포구,2605603658,126.8973425,37.5742275
마포구,2605603659,126.8986999,37.575501
마포구,2605603660,126.8859824,37.5841416
마포구,2605603661,126.8849619,37.5815593
마포구,2605603662,126.8881687,37.5831206
마포구,2605603663,126.8859872,37.5809598
마포구,2605603665,126.8978994,37.5760796
마포구,2605603666,126.8902377,37.5821812
마포구,2605603667,126.8870868,37.5836345
마포구,2605603669,126.8930219,37.580614
마포구,2605603670,126.8839602,37.5821532
마포구,2605603672,126.8878746,37.5798243
마포구,2605603673,126.8994976,37.5762478
마포구,2605603676,126.8891582,37.5826722
마포구,2605603677,126.8868804,37.5804248
마포구,2690966910,126.9303671,37.5482707
마포구,2690966911,126.9299123,37.5475197
마포구,2690977357,126.9342419,37.5499828
마포구,2690978752,126.9359937,37.5489002
마포구,2690978755,126.9369593,37.5493829
마포구,2720510403,126.9057338,37.5575184
마포구,2720635239,126.909453,37.5567951
마포구,2721261123,126.9080919,37.5572812
마포구,2721262777,126.9086122,37.5577363
마포구,2721321961,126.906891,37.5577603
마포구,2724377656,126.910081,37.5601253
마포구,2724377678,126.9116184,37.5633269
마포구,2724377696,126.9082025,37.5589782
마포구,2724377708,126.9077347,37.5587046
마포구,2724377713,126.9104882,37.5594122
마포구,2724377717,126.9097564,37.5603452
마포구,2724377721,126.9092633,37.5591948
마포구,2724377725,126.9094043,37.5612504
마포구,2724382764,126.9088518,37.5622287
마포구,2724382767,126.9069145,37.5621178
마포구,2724391956,126.9109132,37.5650367
마포구,2724391959,126.9108792,37.5637211
